time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:30:51.227834,freerdp-shadow-.33218,,,20627,16952669,0,0,293976,,,,,,,,,,,,
07:30:51.226509,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:30:51.227285,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,20627,16952669,0,0,293976,1.22 ms,387673,473536,BE,-,cubic,-,-,-,-,so,
07:30:51.227873,sshd.33276,,,17076522,18394736,293976,0,6060,,,,,,,,,,,,
07:30:51.226580,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,123853,18374109,0,0,6060,78.72 ms,131072,4717568,BE,-,cubic,-,-,-,-,so,
07:30:51.227150,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,16952669,20627,293976,0,0,2.50 ms,473575,387648,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:30:52.232562,freerdp-shadow-.33218,,,0,96277,0,0,0,,,,,,,,,,,,
07:30:52.232023,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:30:52.232224,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,96277,0,0,0,4.59 ms,387673,377280,BE,-,cubic,-,-,-,-,so,
07:30:52.232680,sshd.33276,,,96537,101004,0,0,0,,,,,,,,,,,,
07:30:52.232095,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,260,101004,0,0,0,85.22 ms,131072,4717568,BE,-,cubic,-,-,-,-,so,
07:30:52.232164,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,96277,0,0,0,0,2.50 ms,377298,387648,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:30:53.232150,freerdp-shadow-.33218,,,0,35445,0,0,0,,,,,,,,,,,,
