time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:33.356997,freerdp-shadow-.33218,,,0,0,0,0,0,,,,,,,,,,,,
07:26:33.356125,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:33.357020,sshd.33276,,,2229,3165,0,0,0,,,,,,,,,,,,
07:26:33.356768,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,2229,3165,0,0,0,80.62 ms,131072,74752,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:34.361305,freerdp-shadow-.33218,,,566,223,0,0,0,,,,,,,,,,,,
07:26:34.361187,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:34.357786,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,566,223,0,0,0,1.22 ms,407734,408064,BE,-,cubic,-,-,-,-,so,
07:26:34.361400,sshd.33276,,,1483,1306,0,0,0,,,,,,,,,,,,
07:26:34.361247,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,1260,740,0,0,0,89.97 ms,131072,76800,BE,-,cubic,-,-,-,-,so,
07:26:34.357849,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,223,566,0,0,0,1.22 ms,408077,407680,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:35.361300,freerdp-shadow-.33218,,,1198,46371,0,0,0,,,,,,,,,,,,
07:26:35.361182,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:35.357609,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,1198,46371,0,0,0,3.34 ms,406536,375232,BE,-,cubic,-,-,-,-,so,
07:26:35.361348,sshd.33276,,,47951,32986,0,0,0,,,,,,,,,,,,
07:26:35.361243,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,1580,31788,0,0,0,86.69 ms,131072,134144,BE,-,cubic,-,-,-,-,so,
07:26:35.357672,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,46371,1198,0,0,0,1.22 ms,378300,406528,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:36.361066,freerdp-shadow-.33218,,,10443,203985,0,0,0,,,,,,,,,,,,
07:26:36.360950,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:36.357576,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,10443,203985,0,0,0,2.47 ms,396093,419008,BE,-,cubic,-,-,-,-,so,
07:26:36.361113,sshd.33276,,,215177,236279,0,0,0,,,,,,,,,,,,
07:26:36.361011,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,11192,225836,0,0,0,76.91 ms,131072,640000,BE,-,cubic,-,-,-,-,so,
07:26:36.357640,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,203985,10443,0,0,0,1.22 ms,419033,396032,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:37.361137,freerdp-shadow-.33218,,,0,205427,0,0,0,,,,,,,,,,,,
07:26:37.361019,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:37.357543,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,205427,0,0,0,1.66 ms,396093,474880,BE,-,cubic,-,-,-,-,so,
07:26:37.361183,sshd.33276,,,206051,213008,0,0,0,,,,,,,,,,,,
07:26:37.361082,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,624,213008,0,0,0,74.72 ms,131072,1180672,BE,-,cubic,-,-,-,-,so,
07:26:37.357608,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,205427,0,0,0,0,1.22 ms,474918,396032,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:38.361385,freerdp-shadow-.33218,,,0,203227,0,0,0,,,,,,,,,,,,
07:26:38.361254,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:38.357666,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,203227,0,0,0,4.31 ms,396093,271680,BE,-,cubic,-,-,-,-,so,
07:26:38.361435,sshd.33276,,,203851,211700,0,0,0,,,,,,,,,,,,
07:26:38.361323,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,624,211700,0,0,0,73.72 ms,131072,1696768,BE,-,cubic,-,-,-,-,so,
07:26:38.357748,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,203227,0,0,0,0,1.22 ms,271691,396032,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:39.361167,freerdp-shadow-.33218,,,0,108399,0,0,0,,,,,,,,,,,,
07:26:39.361050,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:39.357513,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,108399,0,0,0,1.22 ms,396093,424576,BE,-,cubic,-,-,-,-,so,
07:26:39.361271,sshd.33276,,,108711,112252,0,0,0,,,,,,,,,,,,
07:26:39.361111,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,312,112252,0,0,0,79.06 ms,131072,1979392,BE,-,cubic,-,-,-,-,so,
07:26:39.357596,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,108399,0,0,0,0,1.22 ms,424604,396032,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:40.361200,freerdp-shadow-.33218,,,1390,17099,0,0,0,,,,,,,,,,,,
07:26:40.361083,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:40.357775,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,1390,17099,0,0,0,1.22 ms,394703,407488,BE,-,cubic,-,-,-,-,so,
07:26:40.361248,sshd.33276,,,26627,24354,0,0,0,,,,,,,,,,,,
07:26:40.361143,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,9528,22964,0,0,0,89.53 ms,131072,2048000,BE,-,cubic,-,-,-,-,so,
07:26:40.357845,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,17099,1390,0,0,0,2.69 ms,407505,394688,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:41.361198,freerdp-shadow-.33218,,,1610,20273,0,0,0,,,,,,,,,,,,
07:26:41.361082,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:41.357696,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,1610,20273,0,0,0,1.22 ms,393093,387200,BE,-,cubic,-,-,-,-,so,
07:26:41.361256,sshd.33276,,,31249,29438,0,0,0,,,,,,,,,,,,
07:26:41.361143,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,10976,27828,0,0,0,82.66 ms,131072,2140160,BE,-,cubic,-,-,-,-,so,
07:26:41.357761,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,20273,1610,0,0,0,2.56 ms,387232,393088,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:42.361098,freerdp-shadow-.33218,,,440,17943,0,0,0,,,,,,,,,,,,
07:26:42.360981,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:42.357596,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,440,17943,0,0,0,1.22 ms,392653,369280,BE,-,cubic,-,-,-,-,so,
07:26:42.361202,sshd.33276,,,20987,24592,0,0,0,,,,,,,,,,,,
07:26:42.361043,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,3044,24152,0,0,0,86.75 ms,131072,2192384,BE,-,cubic,-,-,-,-,so,
07:26:42.357663,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,17943,440,0,0,0,2.03 ms,369289,392640,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:43.361283,freerdp-shadow-.33218,,,960,65073,0,0,0,,,,,,,,,,,,
07:26:43.361169,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:43.357975,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,960,65073,0,0,0,1.22 ms,391693,304192,BE,-,cubic,-,-,-,-,so,
07:26:43.361331,sshd.33276,,,71809,74196,0,0,0,,,,,,,,,,,,
07:26:43.361229,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,6736,73236,0,0,0,74.59 ms,131072,2405376,BE,-,cubic,-,-,-,-,so,
07:26:43.358041,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,65073,960,0,0,0,1.69 ms,304216,391680,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:44.361385,freerdp-shadow-.33218,,,1210,14008,0,0,0,,,,,,,,,,,,
07:26:44.361271,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:44.358058,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,1210,14008,0,0,0,1.22 ms,390483,290176,BE,-,cubic,-,-,-,-,so,
07:26:44.361431,sshd.33276,,,22288,21678,0,0,0,,,,,,,,,,,,
07:26:44.361331,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,8280,20468,0,0,0,73.69 ms,131072,2465792,BE,-,cubic,-,-,-,-,so,
07:26:44.358121,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,14008,1210,0,0,0,1.97 ms,290208,390464,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:45.362054,freerdp-shadow-.33218,,,2120,15269,0,0,0,,,,,,,,,,,,
07:26:45.361639,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:45.357826,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,2120,15269,0,0,0,1.22 ms,388363,274880,BE,-,cubic,-,-,-,-,so,
07:26:45.362207,sshd.33276,,,29737,24936,0,0,0,,,,,,,,,,,,
07:26:45.361925,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,14468,22816,0,0,0,76.47 ms,131072,2532352,BE,-,cubic,-,-,-,-,so,
07:26:45.357890,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,15269,2120,0,0,0,2.91 ms,274939,388352,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:46.362071,freerdp-shadow-.33218,,,690,33800,0,0,0,,,,,,,,,,,,
07:26:46.361512,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:46.357937,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,690,33800,0,0,0,1.22 ms,387673,502400,BE,-,cubic,-,-,-,-,so,
07:26:46.362439,sshd.33276,,,38596,40438,0,0,0,,,,,,,,,,,,
07:26:46.361901,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,4796,39748,0,0,0,73.16 ms,131072,2629632,BE,-,cubic,-,-,-,-,so,
07:26:46.358002,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,33800,690,0,0,0,2.50 ms,502451,387648,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:47.361569,freerdp-shadow-.33218,,,0,137278,0,0,16332,,,,,,,,,,,,
07:26:47.361449,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:47.358051,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,137278,0,0,16332,1.22 ms,387673,381504,BE,-,cubic,-,-,-,-,so,
07:26:47.361617,sshd.33276,,,137642,129780,16332,0,0,,,,,,,,,,,,
07:26:47.361509,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,364,129780,0,0,0,73.31 ms,131072,2977792,BE,-,cubic,-,-,-,-,so,
07:26:47.358115,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,137278,0,16332,0,0,2.50 ms,381505,387648,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:48.361509,freerdp-shadow-.33218,,,0,33745,0,0,0,,,,,,,,,,,,
07:26:48.361328,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:48.358121,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,33745,0,0,0,1.22 ms,387673,347712,BE,-,cubic,-,-,-,-,so,
07:26:48.361619,sshd.33276,,,33849,38924,0,0,0,,,,,,,,,,,,
07:26:48.361393,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,104,38924,0,0,0,75.25 ms,131072,3077120,BE,-,cubic,-,-,-,-,so,
07:26:48.358184,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,33745,0,0,0,0,2.50 ms,347760,387648,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:49.361795,freerdp-shadow-.33218,,,0,33873,0,0,0,,,,,,,,,,,,
07:26:49.361613,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:49.358161,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,33873,0,0,0,1.22 ms,387673,313856,BE,-,cubic,-,-,-,-,so,
07:26:49.361861,sshd.33276,,,33977,38984,0,0,0,,,,,,,,,,,,
07:26:49.361677,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,104,38984,0,0,0,73.06 ms,131072,3182592,BE,-,cubic,-,-,-,-,so,
07:26:49.358227,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,33873,0,0,0,0,2.50 ms,313887,387648,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:50.361426,freerdp-shadow-.33218,,,0,44826,0,0,0,,,,,,,,,,,,
07:26:50.361308,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:50.358182,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,44826,0,0,0,1.22 ms,387673,269056,BE,-,cubic,-,-,-,-,so,
07:26:50.361476,sshd.33276,,,44930,51044,0,0,0,,,,,,,,,,,,
07:26:50.361369,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,104,51044,0,0,0,71.09 ms,131072,3301376,BE,-,cubic,-,-,-,-,so,
07:26:50.358247,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,44826,0,0,0,0,2.50 ms,269061,387648,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:51.362234,freerdp-shadow-.33218,,,0,106978,0,0,0,,,,,,,,,,,,
07:26:51.362116,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:51.358696,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,106978,0,0,0,1.22 ms,387673,423360,BE,-,cubic,-,-,-,-,so,
07:26:51.362427,sshd.33276,,,107342,114508,0,0,0,,,,,,,,,,,,
07:26:51.362178,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,364,114508,0,0,0,69.62 ms,131072,3610624,BE,-,cubic,-,-,-,-,so,
07:26:51.358762,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,106978,0,0,0,0,2.50 ms,423395,387648,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:52.361993,freerdp-shadow-.33218,,,0,34138,0,0,0,,,,,,,,,,,,
07:26:52.361869,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:52.358192,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,34138,0,0,0,1.22 ms,387673,389248,BE,-,cubic,-,-,-,-,so,
07:26:52.362041,sshd.33276,,,34242,37984,0,0,0,,,,,,,,,,,,
07:26:52.361934,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,104,37984,0,0,0,72.62 ms,131072,3718144,BE,-,cubic,-,-,-,-,so,
07:26:52.358258,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,34138,0,0,0,0,2.50 ms,389257,387648,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:53.362077,freerdp-shadow-.33218,,,0,34749,0,0,0,,,,,,,,,,,,
07:26:53.361958,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:53.358377,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,34749,0,0,0,1.22 ms,387673,354496,BE,-,cubic,-,-,-,-,so,
07:26:53.362125,sshd.33276,,,34853,40888,0,0,0,,,,,,,,,,,,
07:26:53.362020,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,104,40888,0,0,0,80.56 ms,131072,3828736,BE,-,cubic,-,-,-,-,so,
07:26:53.358444,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,34749,0,0,0,0,2.50 ms,354508,387648,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:54.361925,freerdp-shadow-.33218,,,0,44241,0,0,0,,,,,,,,,,,,
07:26:54.361797,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:54.358402,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,44241,0,0,0,1.22 ms,387673,310208,BE,-,cubic,-,-,-,-,so,
07:26:54.361975,sshd.33276,,,44345,50756,0,0,0,,,,,,,,,,,,
07:26:54.361866,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,104,50756,0,0,0,75.00 ms,131072,3942400,BE,-,cubic,-,-,-,-,so,
07:26:54.358465,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,44241,0,0,0,0,2.50 ms,310267,387648,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:55.362143,freerdp-shadow-.33218,,,0,115279,0,0,0,,,,,,,,,,,,
07:26:55.361974,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:55.358330,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,115279,0,0,0,1.22 ms,387673,456256,BE,-,cubic,-,-,-,-,so,
07:26:55.362247,sshd.33276,,,115643,122148,0,0,0,,,,,,,,,,,,
07:26:55.362082,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,364,122148,0,0,0,74.56 ms,131072,4262912,BE,-,cubic,-,-,-,-,so,
07:26:55.358394,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,115279,0,0,0,0,2.50 ms,456300,387648,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:56.362235,freerdp-shadow-.33218,,,0,32980,0,0,0,,,,,,,,,,,,
07:26:56.362081,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:56.358583,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,32980,0,0,0,1.22 ms,387673,423296,BE,-,cubic,-,-,-,-,so,
07:26:56.362345,sshd.33276,,,33084,38736,0,0,0,,,,,,,,,,,,
07:26:56.362146,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,104,38736,0,0,0,80.34 ms,131072,4359168,BE,-,cubic,-,-,-,-,so,
07:26:56.358659,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,32980,0,0,0,0,2.50 ms,423320,387648,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:57.361699,freerdp-shadow-.33218,,,0,33867,0,0,0,,,,,,,,,,,,
07:26:57.361580,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:57.358318,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,33867,0,0,0,1.22 ms,387673,389440,BE,-,cubic,-,-,-,-,so,
07:26:57.361850,sshd.33276,,,33971,38512,0,0,0,,,,,,,,,,,,
07:26:57.361641,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,104,38512,0,0,0,80.38 ms,131072,4475904,BE,-,cubic,-,-,-,-,so,
07:26:57.358382,tcp4 127.0.0.1:62142<->127.0.0.1:3390,lo0,Established,33867,0,0,0,0,2.50 ms,389453,387648,BE,-,cubic,-,-,-,-,so,
time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
07:26:58.362632,freerdp-shadow-.33218,,,0,44197,0,0,0,,,,,,,,,,,,
07:26:58.362513,tcp4 127.0.0.1:3390<->*:*,lo0,Listen,,,,,,,,,,-,cubic,-,-,-,-,so,
07:26:58.358529,tcp4 127.0.0.1:3390<->127.0.0.1:62142,lo0,Established,0,44197,0,0,0,1.22 ms,387673,345216,BE,-,cubic,-,-,-,-,so,
07:26:58.362738,sshd.33276,,,44301,50792,0,0,0,,,,,,,,,,,,
07:26:58.362575,tcp4 192.168.50.75:22<->172.59.27.56:1219,en0,Established,104,50792,0,0,0,80.91 ms,131072,4570112,BE,-,cubic,-,-,-,-,so,
